Symbol,Category_cl
A1BG,Protein Coding
A1BG-AS1,lncRNA
A1CF,Protein Coding
A2M,Protein Coding
A2M-AS1,lncRNA
A2ML1,Protein Coding
A2ML1-AS1,lncRNA
A2ML1-AS2,lncRNA
A2MP1,Pseudogene
A3GALT2,Protein Coding
A4GALT,Protein Coding
A4GNT,Protein Coding
AAAS,Protein Coding
AACS,Protein Coding
AACSP1,Pseudogene
AADAC,Protein Coding
AADACL2,Protein Coding
AADACL2-AS1,lncRNA
AADACL3,Protein Coding
AADACL4,Protein Coding
AADACP1,Pseudogene
AADAT,Protein Coding
AAGAB,Protein Coding
AAK1,Protein Coding
AAMDC,Protein Coding
AAMP,Protein Coding
AANAT,Protein Coding
AAR2,Protein Coding
AARD,Protein Coding
AARS1,Protein Coding
AARS1P1,Pseudogene
AARS2,Protein Coding
AARSD1,Protein Coding
AARSD1P1,Pseudogene
AASDH,Protein Coding
AASDHPPT,Protein Coding
AASS,Protein Coding
AATBC,lncRNA
AATF,TF
AATK,Protein Coding
AAVS1,other
ABALON,lncRNA
ABAT,Protein Coding
ABCA1,Protein Coding
ABCA2,TF
ABCA3,Protein Coding
ABCA3P1,Pseudogene
ABCA4,Protein Coding
ABCA5,Protein Coding
ABCA6,Protein Coding
ABCA7,Protein Coding
ABCA8,Protein Coding
ABCA9,Protein Coding
ABCA9-AS1,lncRNA
ABCA10,Protein Coding
ABCA11P,Pseudogene
ABCA12,Protein Coding
ABCA13,Protein Coding
ABCA17P,Pseudogene
ABCB1,Protein Coding
ABCB4,Protein Coding
ABCB5,Protein Coding
ABCB6,Protein Coding
ABCB7,Protein Coding
ABCB8,Protein Coding
ABCB9,Protein Coding
ABCB10,Protein Coding
ABCB10P1,Pseudogene
ABCB10P3,Pseudogene
ABCB10P4,Pseudogene
ABCB11,Protein Coding
ABCC1,Protein Coding
ABCC2,Protein Coding
ABCC3,Protein Coding
ABCC4,Protein Coding
ABCC5,Protein Coding
ABCC5-AS1,lncRNA
ABCC6,Protein Coding
ABCC6P1,Pseudogene
ABCC6P2,Pseudogene
ABCC8,Protein Coding
ABCC9,Protein Coding
ABCC10,Protein Coding
ABCC11,Protein Coding
ABCC12,Protein Coding
ABCC13,Pseudogene
ABCD1,Protein Coding
ABCD1P1,Pseudogene
ABCD1P2,Pseudogene
ABCD1P3,Pseudogene
ABCD1P4,Pseudogene
ABCD1P5,Pseudogene
ABCD2,Protein Coding
ABCD3,Protein Coding
ABCD4,Protein Coding
ABCE1,Protein Coding
ABCF1,Protein Coding
ABCF1-DT,lncRNA
ABCF2,Protein Coding
ABCF2-H2BK1,other
ABCF2P1,Pseudogene
ABCF2P2,Pseudogene
ABCF3,Protein Coding
ABCG1,TF
ABCG2,Protein Coding
ABCG4,Protein Coding
ABCG5,Protein Coding
ABCG8,Protein Coding
ABHD1,Protein Coding
ABHD2,Protein Coding
ABHD3,Protein Coding
ABHD4,Protein Coding
ABHD5,Protein Coding
ABHD6,Protein Coding
ABHD8,Protein Coding
ABHD10,Protein Coding
ABHD11,Protein Coding
ABHD11-AS1,lncRNA
ABHD12,Protein Coding
ABHD12B,Protein Coding
ABHD13,Protein Coding
ABHD14A,Protein Coding
ABHD14A-ACY1,other
ABHD14B,Protein Coding
ABHD15,Protein Coding
ABHD15-AS1,lncRNA
ABHD16A,Protein Coding
ABHD16B,Protein Coding
ABHD17A,Protein Coding
ABHD17AP1,Pseudogene
ABHD17AP3,Pseudogene
ABHD17AP4,Pseudogene
ABHD17AP5,Pseudogene
ABHD17AP6,Pseudogene
ABHD17AP7,Pseudogene
ABHD17AP8,Pseudogene
ABHD17AP9,Pseudogene
ABHD17B,Protein Coding
ABHD17C,Protein Coding
ABHD18,Protein Coding
ABI1,Protein Coding
ABI1P1,Pseudogene
ABI2,Protein Coding
ABI3,Protein Coding
ABI3BP,Protein Coding
ABITRAM,Protein Coding
ABITRAMP1,Pseudogene
ABL1,TF
ABL2,Protein Coding
ABLIM1,Protein Coding
ABLIM2,Protein Coding
ABLIM3,Protein Coding
ABO,Protein Coding
ABR,Protein Coding
ABR-AS1,lncRNA
ABRA,TF
ABRACL,Protein Coding
ABRAXAS1,Protein Coding
ABRAXAS2,Protein Coding
ABT1,TF
ABT1P1,Pseudogene
ABTB1,TF
ABTB2,Protein Coding
ACAA1,Protein Coding
ACAA2,Protein Coding
ACAA2P1,Pseudogene
ACACA,Protein Coding
ACACB,Protein Coding
ACAD8,TF
ACAD9,Protein Coding
ACAD9-DT,lncRNA
ACAD10,Protein Coding
ACAD11,Protein Coding
ACADL,Protein Coding
ACADM,Protein Coding
ACADS,Protein Coding
ACADSB,Protein Coding
ACADVL,Protein Coding
ACAN,Protein Coding
ACAP1,Protein Coding
ACAP2,Protein Coding
ACAP2-IT1,lncRNA
ACAP3,Protein Coding
ACAT1,Protein Coding
ACAT2,Protein Coding
ACBD3,Protein Coding
ACBD3-AS1,lncRNA
ACBD4,Protein Coding
ACBD5,Protein Coding
ACBD6,Protein Coding
ACBD7,Protein Coding
ACCS,Protein Coding
ACCSL,Protein Coding
ACD,Protein Coding
ACE,Protein Coding
ACE2,Protein Coding
ACE3P,Pseudogene
ACER1,Protein Coding
ACER2,Protein Coding
ACER2P1,Pseudogene
ACER3,Protein Coding
ACHE,Protein Coding
ACIN1,Protein Coding
ACKR1,Protein Coding
ACKR2,Protein Coding
ACKR3,Protein Coding
ACKR4,Protein Coding
ACKR4P1,Pseudogene
ACLY,Protein Coding
ACMSD,Protein Coding
ACNATP,Pseudogene
ACO1,Protein Coding
ACO2,Protein Coding
ACOD1,Protein Coding
ACOT1,Protein Coding
ACOT2,Protein Coding
ACOT4,Protein Coding
ACOT6,Protein Coding
ACOT7,Protein Coding
ACOT8,Protein Coding
ACOT9,Protein Coding
ACOT11,Protein Coding
ACOT12,Protein Coding
ACOT13,Protein Coding
ACOX1,Protein Coding
ACOX2,Protein Coding
ACOX3,Protein Coding
ACOXL,Protein Coding
ACOXL-AS1,lncRNA
ACP1,Protein Coding
ACP2,Protein Coding
ACP3,Protein Coding
ACP4,Protein Coding
ACP5,Protein Coding
ACP6,Protein Coding
ACP7,Protein Coding
ACR,Protein Coding
ACRBP,Protein Coding
ACRP1,Pseudogene
ACRV1,Protein Coding
ACSBG1,Protein Coding
ACSBG2,Protein Coding
ACSF2,Protein Coding
ACSF3,Protein Coding
ACSL1,Protein Coding
ACSL3,Protein Coding
ACSL3-AS1,lncRNA
ACSL4,Protein Coding
ACSL5,Protein Coding
ACSL6,Protein Coding
ACSL6-AS1,lncRNA
ACSM1,Protein Coding
ACSM2A,Protein Coding
ACSM2B,Protein Coding
ACSM3,Protein Coding
ACSM4,Protein Coding
ACSM5,Protein Coding
ACSM5P1,Pseudogene
ACSM6,Protein Coding
ACSS1,Protein Coding
ACSS2,Protein Coding
ACSS3,Protein Coding
ACTA1,Protein Coding
ACTA2,Protein Coding
ACTA2-AS1,lncRNA
ACTB,Protein Coding
ACTBL2,Protein Coding
ACTBP1,Pseudogene
ACTBP2,Pseudogene
ACTBP3,Pseudogene
ACTBP4,Pseudogene
ACTBP6,Pseudogene
ACTBP7,Pseudogene
ACTBP8,Pseudogene
ACTBP9,Pseudogene
ACTBP10,Pseudogene
ACTBP11,Pseudogene
ACTBP12,Pseudogene
ACTBP14,Pseudogene
ACTBP15,Pseudogene
ACTC1,Protein Coding
ACTE1P,Pseudogene
ACTG1,Protein Coding
ACTG1P1,Pseudogene
ACTG1P2,Pseudogene
ACTG1P3,Pseudogene
ACTG1P4,Pseudogene
ACTG1P6,Pseudogene
ACTG1P7,Pseudogene
ACTG1P8,Pseudogene
ACTG1P9,Pseudogene
ACTG1P10,Pseudogene
ACTG1P11,Pseudogene
ACTG1P12,Pseudogene
ACTG1P13,Pseudogene
ACTG1P14,Pseudogene
ACTG1P15,Pseudogene
ACTG1P16,Pseudogene
ACTG1P17,Pseudogene
ACTG1P18,Pseudogene
ACTG1P19,Pseudogene
ACTG1P20,Pseudogene
ACTG1P21,Pseudogene
ACTG1P22,Pseudogene
ACTG1P23,Pseudogene
ACTG1P24,Pseudogene
ACTG1P25,Pseudogene
ACTG2,Protein Coding
ACTL6A,TF
ACTL6B,Protein Coding
ACTL7A,Protein Coding
ACTL7B,Protein Coding
ACTL8,Protein Coding
ACTL9,Protein Coding
ACTL10,Protein Coding
ACTL11P,Pseudogene
ACTN1,Protein Coding
ACTN1-DT,lncRNA
ACTN2,Protein Coding
ACTN3,Protein Coding
ACTN4,Protein Coding
ACTN4P1,Pseudogene
ACTN4P2,Pseudogene
ACTP1,Pseudogene
ACTR1A,Protein Coding
ACTR1AP1,Pseudogene
ACTR1B,Protein Coding
ACTR2,Protein Coding
ACTR3,Protein Coding
ACTR3-AS1,lncRNA
ACTR3B,Protein Coding
ACTR3BP1,Pseudogene
ACTR3BP2,Pseudogene
ACTR3BP3,Pseudogene
ACTR3BP4,Pseudogene
ACTR3BP5,Pseudogene
ACTR3BP6,Pseudogene
ACTR3BP7,Pseudogene
ACTR3C,Protein Coding
ACTR3P1,Pseudogene
ACTR3P2,Pseudogene
ACTR3P3,Pseudogene
ACTR5,TF
ACTR6,Protein Coding
ACTR6P1,Pseudogene
ACTR8,Protein Coding
ACTR10,Protein Coding
ACTRT1,Protein Coding
ACTRT1P1,Pseudogene
ACTRT2,Protein Coding
ACTRT3,Protein Coding
ACVR1,TF
ACVR1B,TF
ACVR1C,Protein Coding
ACVR2A,Protein Coding
ACVR2B,TF
ACVR2B-AS1,lncRNA
ACVRL1,TF
ACY1,Protein Coding
ACY3,Protein Coding
ACYP1,Protein Coding
ACYP2,Protein Coding
ADA,Protein Coding
ADA2,Protein Coding
ADAD1,Protein Coding
ADAD1P1,Pseudogene
ADAD1P2,Pseudogene
ADAD2,Protein Coding
ADAL,Protein Coding
ADAM1A,Pseudogene
ADAM1B,Pseudogene
ADAM2,Protein Coding
ADAM3A,Pseudogene
ADAM3B,Pseudogene
ADAM5,Pseudogene
ADAM6,Pseudogene
ADAM7,Protein Coding
ADAM7-AS1,lncRNA
ADAM7-AS2,lncRNA
ADAM8,Protein Coding
ADAM9,Protein Coding
ADAM10,Protein Coding
ADAM11,Protein Coding
ADAM12,Protein Coding
ADAM15,Protein Coding
ADAM17,Protein Coding
ADAM18,Protein Coding
ADAM19,Protein Coding
ADAM20,Protein Coding
ADAM20P1,Pseudogene
ADAM20P2,Pseudogene
ADAM20P3,Pseudogene
ADAM21,Protein Coding
ADAM21P1,Pseudogene
ADAM22,Protein Coding
ADAM23,Protein Coding
ADAM24P,Pseudogene
ADAM28,Protein Coding
ADAM29,Protein Coding
ADAM30,Protein Coding
ADAM32,Protein Coding
ADAM33,Protein Coding
ADAMDEC1,Protein Coding
ADAMTS1,Protein Coding
ADAMTS2,Protein Coding
ADAMTS3,Protein Coding
ADAMTS4,Protein Coding
ADAMTS5,Protein Coding
ADAMTS6,Protein Coding
ADAMTS7,Protein Coding
ADAMTS7P1,Pseudogene
ADAMTS7P3,Pseudogene
ADAMTS7P4,Pseudogene
ADAMTS8,Protein Coding
ADAMTS9,Protein Coding
ADAMTS9-AS1,lncRNA
ADAMTS9-AS2,lncRNA
ADAMTS10,Protein Coding
ADAMTS12,Protein Coding
ADAMTS13,Protein Coding
ADAMTS14,Protein Coding
ADAMTS15,Protein Coding
ADAMTS16,Protein Coding
ADAMTS16-DT,lncRNA
ADAMTS17,TF
ADAMTS18,Protein Coding
ADAMTS19,TF
ADAMTS19-AS1,lncRNA
ADAMTS20,Protein Coding
ADAMTSL1,Protein Coding
ADAMTSL2,Protein Coding
ADAMTSL3,Protein Coding
ADAMTSL4,Protein Coding
ADAMTSL4-AS1,lncRNA
ADAMTSL4-AS2,lncRNA
ADAMTSL5,Protein Coding
ADAP1,Protein Coding
ADAP2,Protein Coding
ADAR,TF
ADARB1,Protein Coding
ADARB2,Protein Coding
ADARB2-AS1,lncRNA
ADAT1,Protein Coding
ADAT2,Protein Coding
ADAT3,Protein Coding
ADCK1,Protein Coding
ADCK2,Protein Coding
ADCK5,Protein Coding
ADCP1,other
ADCY1,Protein Coding
ADCY2,Protein Coding
ADCY3,Protein Coding
ADCY4,Protein Coding
ADCY5,Protein Coding
ADCY6,Protein Coding
ADCY6-DT,lncRNA
ADCY7,Protein Coding
ADCY8,Protein Coding
ADCY9,Protein Coding
ADCY10,Protein Coding
ADCY10P1,Pseudogene
ADCYAP1,Protein Coding
ADCYAP1R1,Protein Coding
ADD1,Protein Coding
ADD2,Protein Coding
ADD3,Protein Coding
ADD3-AS1,lncRNA
ADGB,Protein Coding
ADGB-DT,lncRNA
ADGRA1,Protein Coding
ADGRA1-AS1,lncRNA
ADGRA2,Protein Coding
ADGRA3,Protein Coding
ADGRA3P1,Pseudogene
ADGRB1,Protein Coding
ADGRB2,Protein Coding
ADGRB3,Protein Coding
ADGRB3-DT,lncRNA
ADGRD1,Protein Coding
ADGRD1-AS1,lncRNA
ADGRD2,Protein Coding
ADGRE1,Protein Coding
ADGRE2,Protein Coding
ADGRE3,Protein Coding
ADGRE4P,Pseudogene
ADGRE5,Protein Coding
ADGRF1,Protein Coding
ADGRF2,Protein Coding
ADGRF3,Protein Coding
ADGRF4,Protein Coding
ADGRF5,Protein Coding
ADGRF5-AS1,lncRNA
ADGRF5P1,Pseudogene
ADGRF5P2,Pseudogene
ADGRG1,Protein Coding
ADGRG2,Protein Coding
ADGRG3,Protein Coding
ADGRG4,Protein Coding
ADGRG5,Protein Coding
ADGRG6,Protein Coding
ADGRG7,Protein Coding
ADGRL1,Protein Coding
ADGRL1-AS1,lncRNA
ADGRL2,Protein Coding
ADGRL3,Protein Coding
ADGRL3-AS1,lncRNA
ADGRL4,Protein Coding
ADGRV1,Protein Coding
ADH1A,Protein Coding
ADH1B,Protein Coding
ADH1C,Protein Coding
ADH4,Protein Coding
ADH5,Protein Coding
ADH5P2,Pseudogene
ADH5P3,Pseudogene
ADH5P4,Pseudogene
ADH5P5,Pseudogene
ADH6,Protein Coding
ADH7,Protein Coding
ADHFE1,Protein Coding
ADI1,Protein Coding
ADI1P1,Pseudogene
ADI1P2,Pseudogene
ADI1P3,Pseudogene
ADIG,Protein Coding
ADIPOQ,Protein Coding
ADIPOQ-AS1,lncRNA
ADIPOR1,Protein Coding
ADIPOR1P1,Pseudogene
ADIPOR1P2,Pseudogene
ADIPOR2,Protein Coding
ADIRF,Protein Coding
ADIRF-AS1,lncRNA
ADK,Protein Coding
ADM,Protein Coding
ADM-DT,lncRNA
ADM2,Protein Coding
ADM5,Protein Coding
ADNP,TF
ADNP-AS1,lncRNA
ADNP2,TF
ADO,Protein Coding
ADORA1,Protein Coding
ADORA2A,TF
ADORA2A-AS1,lncRNA
ADORA2B,Protein Coding
ADORA2BP1,Pseudogene
ADORA3,Protein Coding
ADPGK,TF
ADPGK-AS1,lncRNA
ADPRH,Protein Coding
ADPRHL1,Protein Coding
ADPRM,Protein Coding
ADPRS,Protein Coding
ADRA1A,Protein Coding
ADRA1B,Protein Coding
ADRA1D,Protein Coding
ADRA2A,Protein Coding
ADRA2B,Protein Coding
ADRA2C,Protein Coding
ADRB1,Protein Coding
ADRB2,TF
ADRB3,Protein Coding
ADRM1,Protein Coding
ADSL,Protein Coding
ADSS1,Protein Coding
ADSS2,Protein Coding
ADTRP,Protein Coding
AEBP1,TF
AEBP2,TF
AEN,Protein Coding
AFAP1,Protein Coding
AFAP1-AS1,lncRNA
AFAP1L1,Protein Coding
AFAP1L2,TF
AFDN,Protein Coding
AFDN-DT,lncRNA
AFF1,TF
AFF1-AS1,lncRNA
AFF2,TF
AFF2-IT1,lncRNA
AFF3,TF
AFF4,TF
AFF4-DT,lncRNA
AFG1L,Protein Coding
AFG3L1P,Pseudogene
AFG3L2,Protein Coding
AFG3L2P1,Pseudogene
AFM,Protein Coding
AFMID,Protein Coding
AFP,Protein Coding
AFTPH,Protein Coding
AFTPH-DT,lncRNA
AGA,Protein Coding
AGA-DT,lncRNA
AGAP1,Protein Coding
AGAP1-IT1,lncRNA
AGAP2,Protein Coding
AGAP2-AS1,lncRNA
AGAP3,Protein Coding
AGAP4,Protein Coding
AGAP5,Protein Coding
AGAP6,Protein Coding
AGAP7P,Pseudogene
AGAP9,Protein Coding
AGAP10P,Pseudogene
AGAP11,other
AGAP12P,Pseudogene
AGAP13P,Pseudogene
AGAP14P,Pseudogene
AGBL1,Protein Coding
AGBL1-AS1,lncRNA
AGBL2,Protein Coding
AGBL3,Protein Coding
AGBL4,Protein Coding
AGBL4-AS1,lncRNA
AGBL4-IT1,lncRNA
AGBL5,Protein Coding
AGBL5-AS1,lncRNA
AGBL5-IT1,lncRNA
AGER,Protein Coding
AGFG1,Protein Coding
AGFG2,Protein Coding
AGGF1,Protein Coding
AGGF1P1,Pseudogene
AGGF1P2,Pseudogene
AGGF1P3,Pseudogene
AGGF1P4,Pseudogene
AGGF1P5,Pseudogene
AGGF1P6,Pseudogene
AGGF1P7,Pseudogene
AGGF1P8,Pseudogene
AGGF1P9,Pseudogene
AGGF1P10,Pseudogene
AGK,Protein Coding
AGK-DT,lncRNA
AGKP1,Pseudogene
AGKP2,Pseudogene
AGL,Protein Coding
AGMAT,Protein Coding
AGMO,Protein Coding
AGO1,Protein Coding
AGO2,Protein Coding
AGO3,Protein Coding
AGO4,Protein Coding
AGPAT1,Protein Coding
AGPAT2,Protein Coding
AGPAT3,Protein Coding
AGPAT4,Protein Coding
AGPAT4-IT1,lncRNA
AGPAT5,Protein Coding
AGPAT5P1,Pseudogene
AGPS,Protein Coding
AGR2,Protein Coding
AGR3,Protein Coding
AGRN,Protein Coding
AGRP,Protein Coding
AGT,Protein Coding
AGTPBP1,Protein Coding
AGTR1,Protein Coding
AGTR2,Protein Coding
AGTRAP,Protein Coding
AGXT,Protein Coding
AGXT2,Protein Coding
AHCTF1,TF
AHCTF1P1,Pseudogene
AHCY,Protein Coding
AHCYL1,Protein Coding
AHCYL2,Protein Coding
AHCYP1,Pseudogene
AHCYP2,Pseudogene
AHCYP3,Pseudogene
AHCYP4,Pseudogene
AHCYP5,Pseudogene
AHCYP6,Pseudogene
AHCYP7,Pseudogene
AHCYP8,Pseudogene
AHDC1,TF
AHI1,Protein Coding
AHI1-DT,lncRNA
AHNAK,Protein Coding
AHNAK2,Protein Coding
AHR,TF
AHRR,TF
AHSA1,Protein Coding
AHSA2P,Pseudogene
AHSG,Protein Coding
AHSP,Protein Coding
AICDA,Protein Coding
AIDA,Protein Coding
AIDAP1,Pseudogene
AIDAP2,Pseudogene
AIDAP3,Pseudogene
AIF1,Protein Coding
AIF1L,Protein Coding
AIFM1,Protein Coding
AIFM1P1,Pseudogene
AIFM2,Protein Coding
AIFM3,Protein Coding
AIG1,Protein Coding
AIG1P1,Pseudogene
AIM2,Protein Coding
AIMP1,Protein Coding
AIMP1P1,Pseudogene
AIMP1P2,Pseudogene
AIMP2,Protein Coding
AIP,TF
AIPL1,Protein Coding
AIRE,TF
AIRN,lncRNA
AJAP1,Protein Coding
AJM1,Protein Coding
AJUBA,Protein Coding
AJUBA-DT,lncRNA
AK1,Protein Coding
AK2,Protein Coding
AK2P1,Pseudogene
AK2P2,Pseudogene
AK3,Protein Coding
AK3P2,Pseudogene
AK3P3,Pseudogene
AK3P4,Pseudogene
AK3P5,Pseudogene
AK3P6,Pseudogene
AK4,Protein Coding
AK4P1,Pseudogene
AK4P2,Pseudogene
AK4P3,Pseudogene
AK4P4,Pseudogene
AK4P5,Pseudogene
AK4P6,Pseudogene
AK5,Protein Coding
AK6,Protein Coding
AK6P1,Pseudogene
AK6P2,Pseudogene
AK7,Protein Coding
AK8,Protein Coding
AK9,Protein Coding
AKAIN1,Protein Coding
AKAP1,Protein Coding
AKAP1-DT,lncRNA
AKAP2,other
AKAP3,Protein Coding
AKAP4,Protein Coding
AKAP5,Protein Coding
AKAP6,Protein Coding
AKAP7,Protein Coding
AKAP8,TF
AKAP8L,TF
AKAP8P1,Pseudogene
AKAP9,TF
AKAP10,Protein Coding
AKAP11,Protein Coding
AKAP12,Protein Coding
AKAP13,Protein Coding
AKAP13-AS1,lncRNA
AKAP14,Protein Coding
AKAP17A,Protein Coding
AKAP17BP,Pseudogene
AKIP1,Protein Coding
AKIRIN1,Protein Coding
AKIRIN1P1,Pseudogene
AKIRIN1P2,Pseudogene
AKIRIN2,Protein Coding
AKIRIN2P1,Pseudogene
AKNA,TF
AKNAD1,Protein Coding
AKR1A1,Protein Coding
AKR1B1,Protein Coding
AKR1B1P1,Pseudogene
AKR1B1P2,Pseudogene
AKR1B1P3,Pseudogene
AKR1B1P4,Pseudogene
AKR1B1P5,Pseudogene
AKR1B1P6,Pseudogene
AKR1B1P7,Pseudogene
AKR1B1P8,Pseudogene
AKR1B10,Protein Coding
AKR1B10P1,Pseudogene
AKR1B10P2,Pseudogene
AKR1B15,Protein Coding
AKR1C1,Protein Coding
AKR1C2,Protein Coding
AKR1C3,Protein Coding
AKR1C4,Protein Coding
AKR1C5P,Pseudogene
AKR1C6P,Pseudogene
AKR1C7P,Pseudogene
AKR1C8,Protein Coding
AKR1D1,Protein Coding
AKR1D1P1,Pseudogene
AKR1E2,Protein Coding
AKR7A2,Protein Coding
AKR7A2P1,Pseudogene
AKR7A2P2,Pseudogene
AKR7A3,Protein Coding
AKR7L,Protein Coding
AKT1,Protein Coding
AKT1S1,Protein Coding
AKT2,Protein Coding
AKT3,Protein Coding
AKT3-IT1,lncRNA
AKTIP,Protein Coding
ALAD,Protein Coding
ALAS1,Protein Coding
ALAS2,Protein Coding
ALB,Protein Coding
ALCAM,Protein Coding
ALDH1A1,Protein Coding
ALDH1A2,Protein Coding
ALDH1A2-AS1,lncRNA
ALDH1A3,Protein Coding
ALDH1A3-AS1,lncRNA
ALDH1B1,Protein Coding
ALDH1L1,Protein Coding
ALDH1L1-AS1,lncRNA
ALDH1L1-AS2,lncRNA
ALDH1L2,Protein Coding
ALDH2,Protein Coding
ALDH3A1,Protein Coding
ALDH3A2,Protein Coding
ALDH3B1,Protein Coding
ALDH3B2,Protein Coding
ALDH4A1,Protein Coding
ALDH5A1,Protein Coding
ALDH6A1,Protein Coding
ALDH7A1,Protein Coding
ALDH7A1P1,Pseudogene
ALDH7A1P2,Pseudogene
ALDH7A1P3,Pseudogene
ALDH7A1P4,Pseudogene
ALDH8A1,Protein Coding
ALDH9A1,Protein Coding
ALDH16A1,Protein Coding
ALDH18A1,Protein Coding
ALDOA,Protein Coding
ALDOAP1,Pseudogene
ALDOAP2,Pseudogene
ALDOB,Protein Coding
ALDOC,Protein Coding
ALG1,Protein Coding
ALG1L,Protein Coding
ALG1L2,Protein Coding
ALG1L3P,Pseudogene
ALG1L5P,Pseudogene
ALG1L6P,Pseudogene
ALG1L7P,Pseudogene
ALG1L8P,Pseudogene
ALG1L9P,Pseudogene
ALG1L10P,Pseudogene
ALG1L11P,Pseudogene
ALG1L12P,Pseudogene
ALG1L13P,Pseudogene
ALG1L14P,Pseudogene
ALG1L15P,Pseudogene
ALG2,Protein Coding
ALG3,Protein Coding
ALG3P1,Pseudogene
ALG5,Protein Coding
ALG6,Protein Coding
ALG8,Protein Coding
ALG9,Protein Coding
ALG9-IT1,lncRNA
ALG10,Protein Coding
ALG10B,Protein Coding
ALG11,Protein Coding
ALG12,Protein Coding
ALG13,Protein Coding
ALG13-AS1,lncRNA
ALG14,Protein Coding
ALG14-AS1,lncRNA
ALK,Protein Coding
ALKAL1,Protein Coding
ALKAL2,Protein Coding
ALKBH1,Protein Coding
ALKBH2,Protein Coding
ALKBH3,Protein Coding
ALKBH3-AS1,lncRNA
ALKBH4,Protein Coding
ALKBH5,Protein Coding
ALKBH6,Protein Coding
ALKBH7,Protein Coding
ALKBH8,Protein Coding
ALLC,Protein Coding
ALMS1,Protein Coding
ALMS1-IT1,lncRNA
ALMS1P1,Pseudogene
ALOX5,Protein Coding
ALOX5AP,Protein Coding
ALOX12,Protein Coding
ALOX12-AS1,lncRNA
ALOX12B,Protein Coding
ALOX12P1,Pseudogene
ALOX12P2,Pseudogene
ALOX15,Protein Coding
ALOX15B,Protein Coding
ALOX15P1,Pseudogene
ALOX15P2,Pseudogene
ALOXE3,Protein Coding
ALOXE3P1,Pseudogene
ALPG,Protein Coding
ALPI,Protein Coding
ALPK1,Protein Coding
ALPK2,Protein Coding
ALPK3,Protein Coding
ALPL,Protein Coding
ALPP,Protein Coding
ALPPP,Pseudogene
ALS2,Protein Coding
ALS2CL,Protein Coding
ALX1,TF
ALX3,TF
ALX4,TF
ALYREF,TF
AMACR,Protein Coding
AMBN,Protein Coding
AMBP,Protein Coding
AMBRA1,Protein Coding
AMD1,Protein Coding
AMD1P1,Pseudogene
AMD1P2,Pseudogene
AMD1P3,Pseudogene
AMD1P4,Pseudogene
AMDHD1,Protein Coding
AMDHD2,Protein Coding
AMELX,Protein Coding
AMELY,Protein Coding
AMER1,Protein Coding
AMER2,Protein Coding
AMER3,Protein Coding
AMFR,Protein Coding
AMH,Protein Coding
AMHR2,Protein Coding
AMIGO1,Protein Coding
AMIGO2,Protein Coding
AMIGO3,Protein Coding
AMLCR2,other
AMMECR1,Protein Coding
AMMECR1-IT1,lncRNA
AMMECR1L,Protein Coding
AMMECR1LP1,Pseudogene
AMN,Protein Coding
AMN1,Protein Coding
AMOT,TF
AMOTL1,Protein Coding
AMOTL2,Protein Coding
AMPD1,Protein Coding
AMPD2,Protein Coding
AMPD3,Protein Coding
AMPH,Protein Coding
AMT,Protein Coding
AMTN,Protein Coding
AMY1A,Protein Coding
AMY1B,Protein Coding
AMY1C,Protein Coding
AMY2A,Protein Coding
AMY2B,Protein Coding
AMYP1,Pseudogene
AMZ1,Protein Coding
AMZ2,Protein Coding
AMZ2P1,Pseudogene
AMZ2P2,Pseudogene
AMZ2P3,Pseudogene
ANAPC1,Protein Coding
ANAPC1P1,Pseudogene
ANAPC1P2,Pseudogene
ANAPC1P3,Pseudogene
ANAPC1P4,Pseudogene
ANAPC1P5,Pseudogene
ANAPC1P6,Pseudogene
ANAPC2,TF
ANAPC4,Protein Coding
ANAPC5,Protein Coding
ANAPC7,Protein Coding
ANAPC10,Protein Coding
ANAPC10P1,Pseudogene
ANAPC11,Protein Coding
ANAPC13,Protein Coding
ANAPC15,Protein Coding
ANAPC15P1,Pseudogene
ANAPC15P2,Pseudogene
ANAPC16,Protein Coding
ANCR,other
ANG,Protein Coding
ANGEL1,Protein Coding
ANGEL2,Protein Coding
ANGPT1,Protein Coding
ANGPT2,Protein Coding
ANGPT4,Protein Coding
ANGPTL1,Protein Coding
ANGPTL2,Protein Coding
ANGPTL3,Protein Coding
ANGPTL4,Protein Coding
ANGPTL5,Protein Coding
ANGPTL6,Protein Coding
ANGPTL7,Protein Coding
ANGPTL8,Protein Coding
ANHX,TF
ANK1,Protein Coding
ANK2,Protein Coding
ANK2-AS1,lncRNA
ANK3,Protein Coding
ANK3-DT,lncRNA
ANKAR,Protein Coding
ANKDD1A,Protein Coding
ANKDD1B,Protein Coding
ANKEF1,Protein Coding
ANKFN1,Protein Coding
ANKFY1,Protein Coding
ANKH,Protein Coding
ANKH-DT,lncRNA
ANKHD1,Protein Coding
ANKHD1-DT,lncRNA
ANKHD1-EIF4EBP3,other
ANKIB1,Protein Coding
ANKK1,Protein Coding
ANKLE1,Protein Coding
ANKLE2,Protein Coding
ANKMY1,Protein Coding
ANKMY2,Protein Coding
ANKRA2,TF
ANKRD1,TF
ANKRD2,TF
ANKRD6,TF
ANKRD7,TF
ANKRD9,Protein Coding
ANKRD10,TF
ANKRD10-IT1,lncRNA
ANKRD11,Protein Coding
ANKRD11P1,Pseudogene
ANKRD11P2,Pseudogene
ANKRD12,Protein Coding
ANKRD13A,Protein Coding
ANKRD13B,Protein Coding
